num,square,cube,theta,sin(theta)
1721,2961841,802361065,10.813361913656069,-0.9834452049953297
1615,2608225,-82683921,10.147344271095033,-0.6613118653236525
474,224676,106496424,2.9782298356031243,0.16263716519488333
343,117649,40353607,2.155132560362598,0.8340784336131711
1175,1380625,1622234375,7.382742735936015,0.8910065241883681
692,478864,331373888,4.347964232568274,-0.9343289424566121
1754,3076516,1101241768,11.020707028792994,-0.9996841892832999
1262,1592644,2009916728,7.9293798576606385,0.9971589002606139
2310,5336100,-558510888,14.514158059584846,0.9297764858882511
2027,4108729,-261540909,12.736016617653021,0.16883344471273348
2237,5004169,-1690575835,14.055485532160736,0.99666592803403
596,355216,211708736,3.7447784430790336,-0.5672689491267565
1867,3485689,-2082153229,11.730706968504288,-0.7417417727387392
1093,1194649,1305751357,6.867521540747288,0.5516458706284301
2312,5345344,-526466560,14.526724430199204,0.925077206834458
1169,1366561,1597509809,7.345043624092937,0.8732624548099203
1003,1006009,1009027027,6.302034863101126,0.018848439715408536
313,97969,30664297,1.9666370011472105,0.9226727398701149
2112,4460544,830734336,13.270087368763287,0.6470559615694444
566,320356,181321496,3.556282883863646,-0.4029064357136629
1336,1784896,-1910346240,8.394335570391927,0.8575266561936523
2672,7139584,1897099264,16.788671140783855,-0.8822912264349531
2904,8433216,-1279744512,18.24637013204952,-0.5672689491267554
1582,2502724,-335657928,9.939999155958105,-0.4927273415482912
1267,1605289,2033901163,7.960795784196536,0.9943007903969989
2517,6335289,-1233946771,15.814777418171019,-0.10661115427525976
1548,2396304,-585488704,9.726370855514,-0.2970415815770353
94,8836,830584,0.5906194188748811,0.556875616488188
1745,3045025,1018601329,10.964158361028378,-0.9995065603657316
804,646416,519718464,5.0516809869723875,-0.9429905358928644
2345,5499025,10311737,14.73406954533613,0.827080574274562
2998,8988004,1176232216,18.8369895509244,-0.01256603988335256
2413,5822569,1164957109,15.161326146224342,0.5198173426207098
2127,4524129,1032887791,13.36433514837098,0.7159364830218309
374,139876,52313624,2.349911304885165,0.7115356772092855
1084,1175056,1273760704,6.8109728729826715,0.5036232016357607
2962,8773444,217137352,18.610794879865935,-0.23649899702372476
1542,2377764,-628455208,9.688671743670923,-0.2608415062898979
2359,5564881,242652391,14.822034139636644,0.7745030601987342
2619,6859161,784273475,16.455662319503336,-0.6799533787224185
1772,3139984,1269084352,11.133804364322227,-0.9904614256966512
2068,4276624,254123840,12.993627215247384,0.41437558099328375
1510,2280100,-852016296,9.487609813841177,-0.06279051952931443
2127,4524129,1032887791,13.36433514837098,0.7159364830218309
1318,1737124,-2005437864,8.281238234862695,0.9101059706849958
1902,3617604,-1709251784,11.950618454255574,-0.5775727034222672
109,11881,1295029,0.6848671984825749,0.6325701619131244
2406,5788836,1043037528,15.117343849074086,0.5568756164881875
1513,2289169,-831454599,9.506459369762714,-0.08159061156815743
666,443556,295408296,4.184601414581604,-0.8639234171928352
87,7569,658503,0.5466371217246241,0.5198173426207096
978,956484,935441352,6.144955230421636,-0.13779029068463772
774,599076,463684824,4.863185427757,-0.988651744737914
229,52441,12008989,1.4388494353441252,0.9913076310695066
1414,1999396,-1467821352,8.884424024351935,0.5144395337815069
2846,8099716,1576955256,17.881945384233102,-0.823532597628428
2606,6791236,518091832,16.373980910510003,-0.6178596130903348
1798,3232804,1517614296,11.297167182308897,-0.9548645447466428
1636,2676496,83780160,10.279291162545803,-0.7542513807361036
37,1369,50653,0.2324778563656447,0.23038942667659057
7,49,343,0.04398229715025711,0.04396811831786491
2641,6974881,1240791537,16.59389239626129,-0.7745030601987345
1716,2944656,758062400,10.78194598712017,-0.9772681235681936
1566,2452356,-454577800,9.839468191043233,-0.4029064357136631
1372,1882384,-1712336448,8.620530241450393,0.7203090248879069
1648,2715904,180842496,10.354689386231959,-0.8015669848708767
2374,5635876,494667736,14.916281919244339,0.7115356772092849
1560,2433600,-498551296,9.801769079200156,-0.3681245526846789
2019,4076361,-359761733,12.685751135195586,0.11909716009487069
2753,7579009,-609824703,17.2976091506654,-0.999822352380809
960,921600,884736000,6.031857894892403,-0.2486898871648545
2485,6175225,-1834435059,15.613715488341272,0.0941083133185144
1595,2544025,-237247421,10.02168056495144,-0.5620833778521305
2650,7022500,1429755816,16.650441064025905,-0.8090169943749481
2801,7845601,500691921,17.59920204541002,-0.9490961449902949
2012,4048144,-445068864,12.641768838045328,0.07532680552793287
2318,5373124,-430000456,14.564423542042281,0.9101059706849959
429,184041,78953589,2.6954864967800427,0.43145604568095886
620,384400,238328000,3.8955748904513436,-0.6845471059286887
250,62500,15625000,1.5707963267948966,1.0
1774,3147076,1287945528,11.146370734936587,-0.9886517447379138
1352,1827904,-1823641088,8.494866535306802,0.8015669848708762
2667,7112889,1790205779,16.75725521424796,-0.8670707011644908
1519,2307361,-790085937,9.544158481605793,-0.11909716009487081
2652,7033104,1471922624,16.663007434640264,-0.8163392507171842
2911,8473921,-1102219745,18.29035242919978,-0.5305111843067323
1946,3786916,-1220596056,12.227078607771476,-0.3328195445229856
2813,7912969,784345317,17.674600269096178,-0.9226727398701143
1201,1442401,1732323601,7.546105553922684,0.9529793415172189
849,720801,611960049,5.334424325795469,-0.8126941644330938
1378,1898884,-1678305144,8.65822935329347,0.6936533058128054
2106,4435236,750672424,13.23238825692021,0.6178596130903349
370,136900,50653000,2.324778563656447,0.7289686274214114
606,367236,222545016,3.8076102961508296,-0.6178596130903344
784,614656,481890304,4.926017280828796,-0.9772681235681935
940,883600,830584000,5.906194188748811,-0.36812455268467786
1393,1940449,-1591921839,8.752477132901165,0.622787780488112
483,233289,112678587,3.03477850336774,0.10661115427526005
1227,1505529,1847284083,7.709468371909352,0.9895761186026509
1076,1157776,1245766976,6.760707390525235,0.4595798606214881
1518,2304324,-797003464,9.537875296298612,-0.11285638487348139
382,145924,55742968,2.400176787342602,0.6753328081210246
2748,7551504,-723303488,17.266193224129506,-0.9999210442038161
1091,1190281,1298596571,6.854955170132929,0.5411212521268763
877,769129,674526133,5.510353514396497,-0.6981654189934727
2708,7333264,-1616357568,17.01486581184232,-0.9653816388332739
674,454276,306182024,4.2348668970390415,-0.8881364488135446
1304,1700416,-2077624832,8.19327364056218,0.9429905358928645
262,68644,17984728,1.6461945504810518,0.9971589002606139
15,225,3375,0.0942477796076938,0.09410831331851433
1540,2371600,-642703296,9.676105373056563,-0.24868988716485477
592,350464,207474688,3.719645701850315,-0.546394346734269
1780,3168400,1344784704,11.184069846779664,-0.9822872507286886
525,275625,144703125,3.2986722862692828,-0.15643446504023073
2589,6702921,173993285,16.26716676028795,-0.5305111843067342
1633,2666689,59735841,10.260441606624266,-0.7417417727387399
76,5776,438976,0.4775220833456486,0.45957986062148787
80,6400,512000,0.5026548245743669,0.4817536741017153
527,277729,146363183,3.311238656883642,-0.16883344471273384
1893,3583449,-1806465635,11.894069786490958,-0.6227877804881121
2319,5377761,-413874129,14.570706727349462,0.9074844245411166
2345,5499025,10311737,14.73406954533613,0.827080574274562
67,4489,300763,0.4209734155810323,0.40864907473634904
510,260100,132651000,3.204424506661589,-0.06279051952931335
1774,3147076,1287945528,11.146370734936587,-0.9886517447379138
918,842724,773620632,5.76796411199086,-0.4927273415482917
2997,8982009,1149277197,18.83070636561722,-0.018848439715407738
1225,1500625,1838265625,7.696902001294994,0.9876883405951378
1733,3003289,909732541,10.888760137342224,-0.994300790396999
1285,1651225,2121824125,8.073893119725769,0.9759167619387473
2728,7441984,-1173104128,17.14052951798591,-0.9904614256966511
2919,8520561,-898286217,18.340617911657212,-0.4872501257253332
1222,1493284,1824793048,7.678052445373455,0.9845643345292053
1178,1387684,1634691752,7.401592291857553,0.8994052515663712
2914,8491396,-1025875832,18.309201985121316,-0.5144395337815056
2303,5303809,-670229761,14.470175762434588,0.9450630751798048
923,851929,786330467,5.799380038526759,-0.46515107807745787
2931,8590761,-590283285,18.41601613534337,-0.420085728411805
978,956484,935441352,6.144955230421636,-0.13779029068463772
85,7225,614125,0.5340707511102648,0.5090414157503713
2186,4778596,1856076264,13.735043081494576,0.9202318473658702
2311,5340721,-542495657,14.520441244892025,0.9274451533346612
809,654481,529475129,5.083096913508285,-0.9320711124582111
2122,4502884,965185256,13.332919221835082,0.6936533058128048
1542,2377764,-628455208,9.688671743670923,-0.2608415062898979
113,12769,1442897,0.7099999397112933,0.6518337253008788
2757,7601049,-518744387,17.322741891894122,-0.9990329346781246
2404,5779216,1008333376,15.104777478459726,0.5672689491267568
1248,1557504,1943764992,7.841415263360124,0.9999210442038161
1407,1979649,-1509601153,8.840441727201679,0.5516458706284298
1568,2458624,-439844864,9.852034561657591,-0.41437558099328387
2194,4813636,1971182792,13.785308563952013,0.9387338576538741
2579,6651241,-26318645,16.204334907216154,-0.4762382036679395
2505,6275025,-1460931559,15.739379194484865,-0.03141075907812928
1989,3956121,-721209923,12.497255575980198,-0.06906002571440555
465,216225,100544625,2.921681167838508,0.21814324139654231
2477,6135529,-1982163851,15.563450005883835,0.14401078255225266
804,646416,519718464,5.0516809869723875,-0.9429905358928644
2054,4218916,75718872,12.90566262094687,0.33281954452298634
991,982081,973242271,6.22663663941497,-0.056518534482024804
821,674041,553387661,5.158495137194441,-0.9021339593682026
1349,1819801,-1840055747,8.476016979385262,0.812694164433094
219,47961,10503459,1.3760175822723295,0.9810905174433341
1731,2996361,891733595,10.876193766727864,-0.9928826045698137
750,562500,421875000,4.71238898038469,-1.0
54,2916,157464,0.3392920065876977,0.3328195445229867
1423,2024929,-1413493329,8.940972692116551,0.46515107807745876
2284,5216656,-970059584,14.350795241598176,0.9772681235681934
2106,4435236,750672424,13.23238825692021,0.6178596130903349
1069,1142761,1221611509,6.716725093374978,0.4200857284118065
2027,4108729,-261540909,12.736016617653021,0.16883344471273348
74,5476,405224,0.4649557127312894,0.44838321609003223
605,366025,221445125,3.80132711084365,-0.6129070536529766
1173,1375929,1613964717,7.370176365321655,0.8852313113324555
231,53361,12326391,1.4514158059584845,0.9928826045698137
459,210681,96702579,2.88398205599543,0.25477072568338227
1033,1067089,1102302937,6.490530422316513,0.2058626087698815
200,40000,8000000,1.2566370614359172,0.9510565162951535
1454,2114116,-1221042632,9.135751436639119,0.2850192624699763
2057,4231249,113744601,12.92451217686841,0.3505343201912593
1447,2093809,-1265225673,9.091769139488862,0.3268880296549417
1853,3433609,2067510181,11.642742374203774,-0.7977944395385709
1298,1684804,-2108091704,8.155574528719104,0.9548645447466428
1715,2941225,749233579,10.775662801812992,-0.9759167619387475
1389,1929321,-1615140427,8.727344391672446,0.6422526531765841
36,1296,46656,0.2261946710584651,0.22427076094938117
2730,7452900,-1128419480,17.153095888600273,-0.9921147013144781
2986,8916196,853957480,18.761591327238246,-0.087851196550742
2661,7080921,1662461597,16.71955610240488,-0.8476779360850835
2813,7912969,784345317,17.674600269096178,-0.9226727398701143
1781,3171961,1354295245,11.190353032086843,-0.9810905174433341
757,573049,433798093,4.756371277534947,-0.9990329346781247
216,46656,10077696,1.3571680263507908,0.9772681235681935
357,127449,45499293,2.243097154663112,0.7823908105765882
1238,1532644,1897413272,7.778583410288328,0.9971589002606139
1970,3880900,-944561592,12.377875055143786,-0.18738131458572405
2275,5175625,-1110355013,14.29424657383356,0.9876883405951377
2108,4443664,777309120,13.244954627534568,0.6276913612907004
530,280900,148877000,3.330088212805181,-0.18738131458572477
