num,square,cube,theta,sin(theta)
93,8649,804357,0.5843362335677016,0.5516458706284303
40,1600,64000,0.25132741228718347,0.2486898871648548
40,1600,64000,0.25132741228718347,0.2486898871648548
90,8100,729000,0.5654866776461628,0.5358267949789967
73,5329,389017,0.4586725274241098,0.4427582310389015
40,1600,64000,0.25132741228718347,0.2486898871648548
52,2704,140608,0.3267256359733385,0.3209436098072095
2,4,8,0.012566370614359173,0.012566039883352607
83,6889,571787,0.5215043804959056,0.4981851053394908
73,5329,389017,0.4586725274241098,0.4427582310389015
29,841,24389,0.18221237390820802,0.18120576362713736
77,5929,456533,0.4838052686528282,0.46515107807745837
53,2809,148877,0.33300882128051806,0.32688802965494246
74,5476,405224,0.4649557127312894,0.44838321609003223
29,841,24389,0.18221237390820802,0.18120576362713736
53,2809,148877,0.33300882128051806,0.32688802965494246
35,1225,42875,0.21991148575128552,0.21814324139654254
72,5184,373248,0.4523893421169302,0.4371157666509329
95,9025,857375,0.5969026041820608,0.5620833778521306
17,289,4913,0.10681415022205297,0.10661115427525991
16,256,4096,0.10053096491487339,0.1003617148512149
48,2304,110592,0.30159289474462014,0.2970415815770349
47,2209,103823,0.29530970943744056,0.2910361668282718
47,2209,103823,0.29530970943744056,0.2910361668282718
60,3600,216000,0.3769911184307752,0.368124552684678
41,1681,68921,0.25761059759436306,0.25477072568338216
7,49,343,0.04398229715025711,0.04396811831786491
60,3600,216000,0.3769911184307752,0.368124552684678
6,36,216,0.03769911184307752,0.03769018266993454
34,1156,39304,0.21362830044410594,0.21200710992205463
53,2809,148877,0.33300882128051806,0.32688802965494246
71,5041,357911,0.44610615680975063,0.43145604568095897
29,841,24389,0.18221237390820802,0.18120576362713736
20,400,8000,0.12566370614359174,0.12533323356430426
36,1296,46656,0.2261946710584651,0.22427076094938117
12,144,1728,0.07539822368615504,0.07532680552793272
63,3969,250047,0.39584067435231396,0.38558399227739654
13,169,2197,0.08168140899333462,0.08159061156815754
51,2601,132651,0.3204424506661589,0.3149865196553048
98,9604,941192,0.6157521601035995,0.5775727034222676
69,4761,328509,0.43353978619539146,0.42008572841180625
33,1089,35937,0.20734511513692636,0.20586260876988133
11,121,1331,0.06911503837897545,0.0690600257144058
28,784,21952,0.17592918860102844,0.17502305897527606
27,729,19683,0.16964600329384885,0.1688334447127339
2,4,8,0.012566370614359173,0.012566039883352607
83,6889,571787,0.5215043804959056,0.4981851053394908
7,49,343,0.04398229715025711,0.04396811831786491
43,1849,79507,0.2701769682087222,0.26690198932037557
50,2500,125000,0.3141592653589793,0.3090169943749474
74,5476,405224,0.4649557127312894,0.44838321609003223
98,9604,941192,0.6157521601035995,0.5775727034222676
46,2116,97336,0.289026524130261,0.2850192624699761
17,289,4913,0.10681415022205297,0.10661115427525991
30,900,27000,0.1884955592153876,0.18738131458572463
68,4624,314432,0.4272566008882119,0.41437558099328414
9,81,729,0.05654866776461628,0.05651853448202453
76,5776,438976,0.4775220833456486,0.45957986062148787
77,5929,456533,0.4838052686528282,0.46515107807745837
80,6400,512000,0.5026548245743669,0.4817536741017153
39,1521,59319,0.2450442269800039,0.24259923079540743
70,4900,343000,0.43982297150257105,0.42577929156507266
69,4761,328509,0.43353978619539146,0.42008572841180625
40,1600,64000,0.25132741228718347,0.2486898871648548
52,2704,140608,0.3267256359733385,0.3209436098072095
27,729,19683,0.16964600329384885,0.1688334447127339
5,25,125,0.031415926535897934,0.03141075907812829
14,196,2744,0.08796459430051422,0.08785119655074318
55,3025,166375,0.3455751918948773,0.3387379202452914
85,7225,614125,0.5340707511102648,0.5090414157503713
40,1600,64000,0.25132741228718347,0.2486898871648548
5,25,125,0.031415926535897934,0.03141075907812829
13,169,2197,0.08168140899333462,0.08159061156815754
90,8100,729000,0.5654866776461628,0.5358267949789967
58,3364,195112,0.36442474781641604,0.35641187871325075
47,2209,103823,0.29530970943744056,0.2910361668282718
62,3844,238328,0.3895574890451344,0.3797790955218011
31,961,29791,0.1947787445225672,0.19354946805086026
10,100,1000,0.06283185307179587,0.06279051952931337
79,6241,493039,0.49637163926718736,0.4762382036679391
16,256,4096,0.10053096491487339,0.1003617148512149
31,961,29791,0.1947787445225672,0.19354946805086026
10,100,1000,0.06283185307179587,0.06279051952931337
1,1,1,0.006283185307179587,0.006283143965558951
53,2809,148877,0.33300882128051806,0.32688802965494246
70,4900,343000,0.43982297150257105,0.42577929156507266
58,3364,195112,0.36442474781641604,0.35641187871325075
17,289,4913,0.10681415022205297,0.10661115427525991
63,3969,250047,0.39584067435231396,0.38558399227739654
58,3364,195112,0.36442474781641604,0.35641187871325075
46,2116,97336,0.289026524130261,0.2850192624699761
3,9,27,0.01884955592153876,0.018848439715408175
16,256,4096,0.10053096491487339,0.1003617148512149
94,8836,830584,0.5906194188748811,0.556875616488188
79,6241,493039,0.49637163926718736,0.4762382036679391
9,81,729,0.05654866776461628,0.05651853448202453
7,49,343,0.04398229715025711,0.04396811831786491
73,5329,389017,0.4586725274241098,0.4427582310389015
67,4489,300763,0.4209734155810323,0.40864907473634904
57,3249,185193,0.35814156250923646,0.350534320191259
