num,square,cube,theta,sin(theta)
4116,16941456,1011556160,25.861590724351178,0.6660118674342514
1810,3276100,1634773704,11.372565405995053,-0.929776485888251
2745,7535025,-791192855,17.247343668207964,-0.9995065603657315
3260,10627600,286237632,20.483184101405453,0.9980267284282716
9297,86434209,419956721,58.414773800848614,0.9567120515588308
7417,55011889,1287593,46.602385423350995,0.49818510533948895
2898,8398404,-1431228984,18.20867102020644,-0.5979049830575188
3808,14500864,-615284736,23.926369649739865,-0.9343289424566122
5434,29528356,1543296552,34.14282895921387,0.402906435713663
5227,27321529,1075711315,32.8422096006277,0.9895761186026508
5147,26491609,-1086641949,32.33955477605333,0.797794439538572
6103,37246609,-317211961,38.346279929717014,0.6029295416890226
7065,49914225,456681353,44.390704195223776,0.3971478906347785
8553,73153809,-1380696839,53.740083932307,-0.32688802965494107
4132,17073424,1827911232,25.962121689266052,0.7375131173581744
1132,1281424,1450571968,7.112565767727292,0.7375131173581743
8879,78836641,-89133809,55.78840234244755,-0.6891138083873493
431,185761,80062991,2.708052867394402,0.4200857284118061
6006,36072036,1900283416,37.7368109549206,0.03769018266993782
8936,79852096,593758720,56.146543904956786,-0.39137366683720104
3914,15319396,-169426200,24.592387292300902,-0.5144395337815059
1392,1937664,-1597739008,8.746193947593985,0.6276913612906997
2435,5929225,1552760987,15.299556222982293,0.3971478906347807
4382,19201924,-1756514952,27.532918016060947,0.6753328081210253
1432,2050624,-1358473728,8.997521359881167,0.41437558099328453
4424,19571776,686191104,27.79681179896249,0.4595798606214877
5645,31866025,-504915307,35.468581059028764,-0.7901550123756896
750,562500,421875000,4.71238898038469,-1.0
3043,9259849,-1887050565,19.119732889747482,0.2669019893203758
1748,3055504,1046053696,10.983007916949918,-0.9999210442038161
9009,81162081,1044747409,56.60521643238089,0.05651853448202236
4698,22071204,611301288,29.518404573129697,-0.9470983049947441
7662,58706244,-1164324552,48.141765823609994,-0.8509944817946931
1435,2059225,-1339979421,9.016370915802707,0.39714789063478045
623,388129,241804367,3.9144244463728826,-0.6981654189934728
5492,30162064,-1853669056,34.50725370703029,0.050244318179771326
1349,1819801,-1840055747,8.476016979385262,0.812694164433094
84,7056,592704,0.5277875658030853,0.5036232016357608
9441,89132481,-313836895,59.319552485082475,0.36227536670454624
5113,26142769,523991721,32.125926475609226,0.6518337253008794
2144,4596736,1265467392,13.471149298593033,0.7862884321366189
9438,89075844,-1115774344,59.30070292916094,0.3797790955217973
4950,24502500,1028290712,31.101767270538954,-0.3090169943749469
3995,15960025,-664209565,25.10132530218245,-0.03141075907812732
6758,45670564,-595973800,42.461766305919646,-0.9987369566060175
9807,96177249,-1682524177,61.6191983075102,-0.936549886748193
4191,17564481,598295839,26.332829622389646,0.9320711124582106
4197,17614809,914909341,26.370528734232725,0.9450630751798049
4250,18062500,-543786328,26.703537555513243,1.0
912,831744,758550528,5.730265000147783,-0.5251746299612954
